country_name,country_identifier,observation_year,adaptive_capacity_index,foreign_direct_investment_net_inflows_pct_gdp,forest_area_pct_land_area,real_gdp_constant_2015_usd,renewable_energy_consumption_pct_final_energy_use,natural_capital_dependency_index,urban_population_pct_total_population,readiness_index,official_development_assistance_usd,ecological_footprint_index,co2_emissions_metric_tonnes_per_capita,total_greenhouse_gas_emissions_kt_co2e,average_temperature_celsius,annual_precipitation_mm,land_area_sq_km,surface_area_sq_km,total_population,greenhouse_gas_emissions_metric_tonnes_per_capita,data_observacao
Albania,1,1995,0.561661248370153,2.925485966576154,28.432481751824817,4743487914.072331,50.6097095765374,0.218897271,38.911,0.331604502317246,180600006.103516,1.13278024391874,0.6117102037026348,7430.0,11.21,1167.57,27400.0,28750.0,3187784,2.3307727248772188,1995-01-01
Albania,1,1996,0.564242593407467,2.815940617719278,28.361313868613134,5175145287.860251,51.63636055808,0.218897271,39.473,0.332123931635504,226639999.389648,1.26549919105551,0.6218369568751335,7150.0,10.95,1212.62,27400.0,28750.0,3168033,2.256920934851373,1996-01-01
Albania,1,1997,0.565245840197482,2.1031528051091977,28.29014598540146,4610020246.044928,55.953349416169,0.218897271,40.035,0.330587850759833,168229995.727539,1.07688933032996,0.4700978089312866,6420.0,11.18,868.01,27400.0,28750.0,3148281,2.039208063066797,1997-01-01
Albania,1,1998,0.569953582559449,1.7678957926246204,28.21897810218978,5017058469.28803,49.9833654433978,0.1942044906,40.601,0.328543946660703,268739990.234375,1.23309376470978,0.5753500845444985,6670.0,11.81,1010.87,27400.0,28750.0,3128530,2.131991702173225,1998-01-01
Albania,1,1999,0.57583059279516,1.2826413341929783,28.147810218978105,5663797625.166139,42.7183134087746,0.1942044906,41.169,0.329401633623116,488179992.675781,1.44795124234648,0.9553593083841948,7890.0,12.05,1138.7,27400.0,28750.0,3108778,2.53797472833377,1999-01-01
Albania,1,2000,0.578186405423573,4.108775955259288,28.076642335766422,6057217275.170974,41.4449996948242,0.1942044906,41.741,0.330022591468723,317850006.10351604,1.48808599907891,1.0262131085289965,8220.0,12.37,796.5,27400.0,28750.0,3089027,2.661032098456893,2000-01-01
Albania,1,2001,0.576989758532907,5.285432754339789,28.12324817518249,6559561240.860765,39.125301361084,0.1942044906,42.435,0.335152098005458,268529998.779297,1.48970690513716,1.0522280929868997,8190.0,12.06,832.37,27400.0,28750.0,3060173,2.676319279988419,2001-01-01
Albania,1,2002,0.576047048835197,3.1048270744675626,28.16985401459854,6857137321.176182,35.8958015441895,0.1695117102,43.501,0.340498291199527,307359985.35156304,1.70193084364864,1.2291011828869784,8820.0,12.17,1101.34,27400.0,28750.0,3051010,2.8908459821501733,2002-01-01
Albania,1,2003,0.573821596451642,3.1727081781452187,28.2164598540146,7236243584.078586,33.7517013549805,0.1448189298,44.573,0.339010875464902,349309997.558594,1.70228383221379,1.3521444814081778,9250.0,11.98,1007.63,27400.0,28750.0,3039616,3.0431475554806924,2003-01-01
Albania,1,2004,0.567327923220189,4.750174508890189,28.26306569343065,7635298386.900523,35.934700012207,0.1448189298,45.651,0.346756165186277,300940002.441406,1.78530338392771,1.417273357672553,9310.0,11.72,1074.26,27400.0,28750.0,3026939,3.0757144428744683,2004-01-01
